cidade,nome_do_bar,endereco,imagem_prato,pagina_url,lat,lng
Belo Horizonte,Bar do João (São João Batista),"R. Geralda Marinho, 117 | Belo Horizonte - MG",https://cdb-static-files.s3.amazonaws.com/wp-content/uploads/2026/03/09111331/bardojoao_nabocadopovo_bh_2026_rodneycosta_unibh-4472.jpg,https://comidadibuteco.com.br/buteco/3125-revision-v1/,-19.826874699999998,-43.9647017
Belo Horizonte,Bar do Kim,"Rua Júlio de Castilho, 1071 | Palmeiras, Belo Horizonte - MG",https://cdb-static-files.s3.amazonaws.com/wp-content/uploads/2026/03/09111333/bardokim_fraldinhasupreme_bh_2026_pauloti_unibh-4724.jpg,https://comidadibuteco.com.br/buteco/bar-do-kim/,-19.964545599999997,-43.980615
Belo Horizonte,Bar do Momô,"Avenida Coronel José Benjamim, 777 | Belo Horizonte - MG",https://cdb-static-files.s3.amazonaws.com/wp-content/uploads/2026/03/09111335/bardomomo_esferasuina_rodneycosta_unibh-3114.jpg,https://comidadibuteco.com.br/buteco/3520-revision-v1/,-19.9191069,-43.9763769
Belo Horizonte,Bar do Nelson,"R. Vicente Risola, 1000 | Santa Inês, Belo Horizonte - MG",https://cdb-static-files.s3.amazonaws.com/wp-content/uploads/2026/03/09111336/bardonelson_brasileirinho_bh_2026_rodneycosta_unibh-4559.jpg,https://comidadibuteco.com.br/buteco/bar-do-nelson/,-19.883984299999998,-43.9092247
Belo Horizonte,Bar do Peixinho,"Avenida Bernardo de Vasconcelos, 1824 | Belo Horizonte - MG",https://cdb-static-files.s3.amazonaws.com/wp-content/uploads/2026/03/09111338/bardopeixinho_tilapiaroletera_bh_2026_isaquerodrigues_unibh-3830.jpg,https://comidadibuteco.com.br/buteco/bar-do-peixinho/,-19.8808161,-43.9353931
Belo Horizonte,Bar do Primo,"Avenida Amazonas, 4649 | Nova Suíça, Belo Horizonte - MG",https://cdb-static-files.s3.amazonaws.com/wp-content/uploads/2026/03/16114137/whatsapp-image-2026-03-16-at-14.39.03.jpeg,https://comidadibuteco.com.br/buteco/bar-do-primo/,-19.9295944,-43.9757771
Belo Horizonte,Bar do Regis,"R. Gávea, 422 | Jardim América, Belo Horizonte - MG",https://cdb-static-files.s3.amazonaws.com/wp-content/uploads/2026/03/09111441/bardoregis_leilaoeevanoparaiso_bh_2026_giovanaevelyn_unibh-3344.jpg,https://comidadibuteco.com.br/buteco/24790-revision-v1/,-19.9398014,-43.977549599999996
Belo Horizonte,Bar do Tião,"Avenida Doutor Cristiano Guimarães, 2570 | Planalto, Belo Horizonte - MG",https://cdb-static-files.s3.amazonaws.com/wp-content/uploads/2026/03/25074325/tiaovei_2026_belohorizonte.jpg,https://comidadibuteco.com.br/buteco/bar-do-tiao-2/,-19.841613100000004,-43.9495036
Belo Horizonte,Bar dos Meninos,"Rua Lindolfo Deodoro, 503 - A | Salgado Filho, Belo Horizonte - MG",https://cdb-static-files.s3.amazonaws.com/wp-content/uploads/2026/03/09111445/bardosmeninos_acopaenossa_bh_2026_pauloti_unibh-4886.jpg,https://comidadibuteco.com.br/buteco/bar-dos-meninos/,-19.9396546,-43.9786674
Belo Horizonte,Bar Du Du,"R. Vinte e Oito de Setembro, 229 | Esplanada, Belo Horizonte - MG",https://cdb-static-files.s3.amazonaws.com/wp-content/uploads/2026/03/09111447/bardudu_atequemnaogostacome_bh_2026_pauloti_unibh-4066.jpg,https://comidadibuteco.com.br/buteco/bar-du-du/,-19.9028046,-43.9052171
Belo Horizonte,Bar Du Magrelo,"Rua São Felipe, 21  | Belo Horizonte - MG",https://cdb-static-files.s3.amazonaws.com/wp-content/uploads/2026/03/09111548/bardomagrelo_canelasuada_bh_2026_pauloti_unibh-3415.jpg,https://comidadibuteco.com.br/buteco/bar-du-magrelo/,-19.907602,-43.9180116
