cidade;nome_do_bar;endereco;imagem_prato;pagina_url
Belo Horizonte;Bar da Lu;R. Geralda Marinho, 41 | São João Batista (Venda Nova), Belo Horizonte - MG;https://cdb-static-files.s3.amazonaws.com/wp-content/uploads/2026/03/09111121/bardalu_popeyemineiro_bh_2026_rodneycosta_unibh-4185.jpg;https://comidadibuteco.com.br/buteco/bar-da-lu/
Belo Horizonte;Bar da Praça;Rua Oeste, 517 | Calafate, Belo Horizonte - MG;https://cdb-static-files.s3.amazonaws.com/wp-content/uploads/2026/03/09111222/bardapraca_cadimdenos_bh_2026_pauloti_unibh-4502.jpg;https://comidadibuteco.com.br/buteco/bar-da-praca/
Belo Horizonte;Bar da Silvânia;R. Soares Nogueira, 801 | Camargos, Belo Horizonte - MG;https://cdb-static-files.s3.amazonaws.com/wp-content/uploads/2026/03/09111224/bardasilvania_tesourocaipiracomencantodahorta_bh_2026_giovanaevelyn_unibh-3364.jpg;https://comidadibuteco.com.br/buteco/bar-da-silvania/
Belo Horizonte;Bar do Bartolomeu;R. Arthur Luchesi, 356 | Santa Helena (Barreiro), Belo Horizonte - MG;https://cdb-static-files.s3.amazonaws.com/wp-content/uploads/2026/03/09111226/bardobartolomeu_triomineirobaodemais_bh_2026_rodneycosta_unibh-4207.jpg;https://comidadibuteco.com.br/buteco/bar-do-bartolomeu/
Belo Horizonte;Bar do Bem;Rua Vicentina Coutinho Camargos, 100 | Álvaro Camargos, Belo Horizonte - MG;https://cdb-static-files.s3.amazonaws.com/wp-content/uploads/2026/03/09111228/bardobem_brsileirinhoraiz_bh_2026_rodneycosta_unibh-5080.jpg;https://comidadibuteco.com.br/buteco/bar-do-bem/
Belo Horizonte;Bar do Dedinho  (Temporariamente fechado por motivo de Luto);Avenida Guarapari, 872 | Belo Horizonte - MG;https://cdb-static-files.s3.amazonaws.com/wp-content/uploads/2026/03/09111229/bardodedinho_kafteivossamensagem_bh_2026_isabelaaraujo_unibh-3503.jpg;https://comidadibuteco.com.br/buteco/3121-revision-v1/
Belo Horizonte;Bar do João (São João Batista);R. Geralda Marinho, 117 | Belo Horizonte - MG;https://cdb-static-files.s3.amazonaws.com/wp-content/uploads/2026/03/09111331/bardojoao_nabocadopovo_bh_2026_rodneycosta_unibh-4472.jpg;https://comidadibuteco.com.br/buteco/3125-revision-v1/
Belo Horizonte;Bar do Kim;Rua Júlio de Castilho, 1071 | Palmeiras, Belo Horizonte - MG;https://cdb-static-files.s3.amazonaws.com/wp-content/uploads/2026/03/09111333/bardokim_fraldinhasupreme_bh_2026_pauloti_unibh-4724.jpg;https://comidadibuteco.com.br/buteco/bar-do-kim/
Belo Horizonte;Bar do Momô;Avenida Coronel José Benjamim, 777 | Belo Horizonte - MG;https://cdb-static-files.s3.amazonaws.com/wp-content/uploads/2026/03/09111335/bardomomo_esferasuina_rodneycosta_unibh-3114.jpg;https://comidadibuteco.com.br/buteco/3520-revision-v1/
Belo Horizonte;Bar do Nelson;R. Vicente Risola, 1000 | Santa Inês, Belo Horizonte - MG;https://cdb-static-files.s3.amazonaws.com/wp-content/uploads/2026/03/09111336/bardonelson_brasileirinho_bh_2026_rodneycosta_unibh-4559.jpg;https://comidadibuteco.com.br/buteco/bar-do-nelson/
Belo Horizonte;Bar do Peixinho;Avenida Bernardo de Vasconcelos, 1824 | Belo Horizonte - MG;https://cdb-static-files.s3.amazonaws.com/wp-content/uploads/2026/03/09111338/bardopeixinho_tilapiaroletera_bh_2026_isaquerodrigues_unibh-3830.jpg;https://comidadibuteco.com.br/buteco/bar-do-peixinho/
Belo Horizonte;Bar do Primo;Avenida Amazonas, 4649 | Nova Suíça, Belo Horizonte - MG;https://cdb-static-files.s3.amazonaws.com/wp-content/uploads/2026/03/16114137/whatsapp-image-2026-03-16-at-14.39.03.jpeg;https://comidadibuteco.com.br/buteco/bar-do-primo/
Belo Horizonte;Bar do Regis;R. Gávea, 422 | Jardim América, Belo Horizonte - MG;https://cdb-static-files.s3.amazonaws.com/wp-content/uploads/2026/03/09111441/bardoregis_leilaoeevanoparaiso_bh_2026_giovanaevelyn_unibh-3344.jpg;https://comidadibuteco.com.br/buteco/24790-revision-v1/
Belo Horizonte;Bar do Tião;Avenida Doutor Cristiano Guimarães, 2570 | Planalto, Belo Horizonte - MG;https://cdb-static-files.s3.amazonaws.com/wp-content/uploads/2026/03/25074325/tiaovei_2026_belohorizonte.jpg;https://comidadibuteco.com.br/buteco/bar-do-tiao-2/
Belo Horizonte;Bar dos Meninos;Rua Lindolfo Deodoro, 503 - A | Salgado Filho, Belo Horizonte - MG;https://cdb-static-files.s3.amazonaws.com/wp-content/uploads/2026/03/09111445/bardosmeninos_acopaenossa_bh_2026_pauloti_unibh-4886.jpg;https://comidadibuteco.com.br/buteco/bar-dos-meninos/
Belo Horizonte;Bar Du Du;R. Vinte e Oito de Setembro, 229 | Esplanada, Belo Horizonte - MG;https://cdb-static-files.s3.amazonaws.com/wp-content/uploads/2026/03/09111447/bardudu_atequemnaogostacome_bh_2026_pauloti_unibh-4066.jpg;https://comidadibuteco.com.br/buteco/bar-du-du/
Belo Horizonte;Bar Du Magrelo;Rua São Felipe, 21  | Belo Horizonte - MG;https://cdb-static-files.s3.amazonaws.com/wp-content/uploads/2026/03/09111548/bardomagrelo_canelasuada_bh_2026_pauloti_unibh-3415.jpg;https://comidadibuteco.com.br/buteco/bar-du-magrelo/
Belo Horizonte;Bar e Restaurante Bom Sabor;R. Java, 386  | Nova Suíça, Belo Horizonte - MG;https://cdb-static-files.s3.amazonaws.com/wp-content/uploads/2026/03/09111010/bomsabor_saboresdaroca_bh_2026_pauloti_unibh-5218.jpg;https://comidadibuteco.com.br/buteco/bar-e-restaurante-bom-sabor/
